"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
133,기획팀장,2022.11.29.11:55:32,웰컴커피,과제체계 협업 활성화 관련 업무추진,6,"43,000",신용카드,시책
134,법제통계팀장,2022.11.29.11:57:07,무교동 낙지,소송사무 관련 업무추진,4,"36,000",제로페이,시책
135,기획예산과장,2022.11.29.12:23:41,마늘과 올리브,지방재정 집행관리 관련 업무추진,6,"87,000",신용카드,시책
136,예산팀장,2022.11.29.12:31:06,까쉬,2023~2027 중기지방재정계획 수립 관련 업무추진,5,"28,800",신용카드,시책
137,기획예산과장,2022.11.29.19:12:26,문화식당,2023 조직개편 관련 신규사업 발굴 관련 업무추진,3,"49,000",신용카드,시책
138,기획예산과장,2022.11.30.12:30:21,자미원,2022년 하반기 과제 및 조직평가 관련 업무추진,5,"100,000",신용카드,시책
139,법제통계팀장,2022.11.30.12:32:25,이웃집샤브,공공데이터 플랫폼 운영 관련 업무추진,6,"52,600",제로페이,시책
140,기획재정국장,2022.11.30.13:02:48,새마을식당,2022 성북마을미디어 축제 개최 관련 업무추진,6,"136,200",신용카드,시책
141,예산팀장,2022.11.30.14:02:52,현대백화점,시비보조금 확보 관련 업무추진,4,"74,000",신용카드,시책
142,예산팀장,2022.11.30.14:28:40,나폴레옹,시비보조금 확보 관련 업무추진,21,"410,000",신용카드,시책
계,,,,,,"13,441,340",,
